ETNT Article-focused template:,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,
Promo template: ,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,
DE preview (new issue),,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,
NOTES,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments
486,ETNT,,Thu,4/2/2016,Sat,Article,bestnutritionbars,etntabs,DM,
487,ETNT,,Thu,4/3/2016,Sun,Promo TBD,teacleanseww3,n/a,JP,
488,ZBD,,Fri,4/4/2016,Mon,Article,petpeeves,zbcook,DM,
489,ETNT,,Wed,4/4/2016,Mon,ZBD Main Story,proteins20,n/a,JP,
490,ETNT,,Mon,4/5/2016,Tue,Main Story,hottestrestaurants,AARP,DM,
491,ETNT,,,4/5/2016,Tue,Promo TBD,AARP,zbapp,JP,
492,ETNT,,Tue,4/6/2016,Wed,Article,frozencleaneats,ctnteasy,DM,
493,ETNT,,Wed,4/7/2016,Thu,Article,worstbreakfasthabits,teacleanse,DM,
494,ETNT,,Thu,4/8/2016,Fri,Article,paneraranking,Lipton ,DM,
495,ETNT,,Thu,4/9/2016,Sat,Article,carbloversguide,greentea,DM,
496,ETNT,,Thu,4/10/2016,Sun,Promo TBD,zbapp,n/a,JP,
497,ZBD,,Fri,4/11/2016,Mon,Main Story,alwayshungry,slimfast,DM,
498,ETNT,,Wed,4/11/2016,Mon,ZBD Main Story,,n/a,JP,
499,ETNT,,Mon,4/12/2016,Tue,Article,vitaminbellybloat,etntabs,DM,
